Category, Description, Amount, Date
Food, Breakfast at Cafe, 120, 01-07-2026
Travel, Metro Recharge, 150, 01-07-2026
Education, Java Programming Book, 499, 02-07-2026
Bills, Internet Recharge, 799, 03-07-2026
Shopping, Wireless Mouse, 899, 04-07-2026
Food, Pizza Dinner, 350, 05-07-2026
Entertainment, Movie Ticket, 280, 06-07-2026
Medical, Medicines, 420, 07-07-2026
Travel, Cab Fare, 260, 08-07-2026
Education, DSA Notebook, 180, 09-07-2026
Shopping, USB Drive 64GB, 650, 10-07-2026
Bills, Electricity Bill, 1850, 11-07-2026
Food, Lunch with Friends, 420, 12-07-2026
Travel, Bus Pass Renewal, 300, 13-07-2026
Entertainment, Spotify Premium, 119, 14-07-2026